taxon_id,scientific_name,common_name,is_final_species,original_sat_env__biolith_ap_test,refit_naip__biolith_ap_test,refit_sentinel__biolith_ap_test,original_sat_env__biolith_roc_auc_test,refit_naip__biolith_roc_auc_test,refit_sentinel__biolith_roc_auc_test,original_sat_env__fit_result_exists,refit_naip__fit_result_exists,refit_sentinel__fit_result_exists,original_sat_env__lppd_null_test,refit_naip__lppd_null_test,refit_sentinel__lppd_null_test,original_sat_env__lppd_oracle_test,refit_naip__lppd_oracle_test,refit_sentinel__lppd_oracle_test,original_sat_env__lppd_test,refit_naip__lppd_test,refit_sentinel__lppd_test,original_sat_env__lppd_test_norm,refit_naip__lppd_test_norm,refit_sentinel__lppd_test_norm,original_sat_env__lr_f1_test,refit_naip__lr_f1_test,refit_sentinel__lr_f1_test,original_sat_env__lr_map_test,refit_naip__lr_map_test,refit_sentinel__lr_map_test,original_sat_env__lr_mcc_test,refit_naip__lr_mcc_test,refit_sentinel__lr_mcc_test,original_sat_env__lr_precision_test,refit_naip__lr_precision_test,refit_sentinel__lr_precision_test,original_sat_env__lr_recall_test,refit_naip__lr_recall_test,refit_sentinel__lr_recall_test,refit_sentinel__delta_vs_original_sat_env__lppd_test,refit_sentinel__delta_vs_original_sat_env__lppd_null_test,refit_sentinel__delta_vs_original_sat_env__lppd_oracle_test,refit_sentinel__delta_vs_original_sat_env__lppd_test_norm,refit_sentinel__delta_vs_original_sat_env__biolith_ap_test,refit_sentinel__delta_vs_original_sat_env__biolith_roc_auc_test,refit_sentinel__delta_vs_original_sat_env__lr_map_test,refit_sentinel__delta_vs_original_sat_env__lr_precision_test,refit_sentinel__delta_vs_original_sat_env__lr_recall_test,refit_sentinel__delta_vs_original_sat_env__lr_f1_test,refit_sentinel__delta_vs_original_sat_env__lr_mcc_test,refit_naip__delta_vs_original_sat_env__lppd_test,refit_naip__delta_vs_original_sat_env__lppd_null_test,refit_naip__delta_vs_original_sat_env__lppd_oracle_test,refit_naip__delta_vs_original_sat_env__lppd_test_norm,refit_naip__delta_vs_original_sat_env__biolith_ap_test,refit_naip__delta_vs_original_sat_env__biolith_roc_auc_test,refit_naip__delta_vs_original_sat_env__lr_map_test,refit_naip__delta_vs_original_sat_env__lr_precision_test,refit_naip__delta_vs_original_sat_env__lr_recall_test,refit_naip__delta_vs_original_sat_env__lr_f1_test,refit_naip__delta_vs_original_sat_env__lr_mcc_test
e70effd7-855e-4ba3-966c-a4fbb74eab13,Taxidea taxus,american badger,False,0.12151541399433748,0.0471634982922314,0.04862228934311269,0.8097346972721224,0.739042747837658,0.7471723220226214,True,True,True,-290.5389404296875,-290.5645446777344,-290.5645446777344,-286.203369140625,-284.8717956542969,-284.8717956542969,-253.8389129638672,-275.48602294921875,-272.5535888671875,8.464865416561084,2.6487241342339445,3.1638415353275438,0.11290322580645161,0.034482758620689655,0.041237113402061855,0.12140280282925757,0.03531795980854921,0.03540346282234639,0.09762672468023452,0.004989253081275204,0.014603782945381453,0.07608695652173914,0.023809523809523808,0.03076923076923077,0.21875,0.0625,0.0625,-18.714675903320312,-0.025604248046875,1.331573486328125,-5.30102388123354,-0.07289312465122479,-0.06256237524950103,-0.08599934000691117,-0.045317725752508364,-0.15625,-0.07166611240438975,-0.08302294173485307,-21.647109985351562,-0.025604248046875,1.331573486328125,-5.8161412823271395,-0.07435191570210609,-0.07069194943446444,-0.08608484302070836,-0.05227743271221533,-0.15625,-0.07842046718576196,-0.09263747159895931
43320a08-bf31-49a5-8213-f032311c5765,Castor canadensis,american beaver,False,0.02347225122850728,0.011740334486271485,0.009938871292107325,0.7845435523868568,0.6515324705517669,0.5695714507129571,True,True,True,-312.3160705566406,-312.82769775390625,-312.82769775390625,-296.8301086425781,-298.7142333984375,-298.7142333984375,-287.8675231933594,-298.6548156738281,-324.4307556152344,1.5787554882903334,1.004210002810993,-0.8221268406599347,0.0,0.0,0.0,0.02172260006766138,0.007628650815313041,0.00790950832074494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.563232421875,-0.511627197265625,-1.884124755859375,-2.400882328950268,-0.013533379936399954,-0.21497210167389968,-0.013813091746916441,0.0,0.0,0.0,0.0,-10.78729248046875,-0.511627197265625,-1.884124755859375,-0.5745454854793404,-0.011731916742235794,-0.13301108183508992,-0.014093949252348342,0.0,0.0,0.0,0.0
436ddfdd-bc43-44c3-a25d-34671d3430a0,Ursus americanus,american black bear,True,0.37015265840756595,0.2481135299896099,0.2682588035992675,0.8052738046497705,0.7566508622017953,0.7728873084424017,True,True,True,-3254.254150390625,-3254.26220703125,-3254.26220703125,-1950.6728515625,-1907.0323486328125,-1907.0323486328125,-2915.734619140625,-3204.219482421875,-3181.697509765625,0.25968424950121444,0.037144904633322845,0.05386215040682709,0.305019305019305,0.24390243902439024,0.2607561929595828,0.3470526715582092,0.20541891209417862,0.22296376211205443,0.2719373703149104,0.13368528413028524,0.1489324804862962,0.49375,0.23684210526315788,0.24449877750611246,0.2206703910614525,0.25139664804469275,0.27932960893854747,-265.962890625,-0.008056640625,43.6405029296875,-0.20582209909438734,-0.10189385480829843,-0.032386496207368776,-0.12408890944615475,-0.24925122249388756,0.058659217877094966,-0.04426311205972222,-0.12300488982861418,-288.48486328125,-0.008056640625,43.6405029296875,-0.2225393448678916,-0.12203912841795606,-0.04862294244797516,-0.14163375946403056,-0.25690789473684217,0.030726256983240247,-0.06111686599491478,-0.13825208618462514
819ea972-9d43-40f8-a47d-f415c816de94,Martes americana,american marten,False,0.04464249652015949,0.017896341992254823,0.023952903690719132,0.8857142857142857,0.767965367965368,0.8326118326118326,True,True,True,-46.268733978271484,-46.26873016357422,-46.26873016357422,-45.88753128051758,-45.649871826171875,-45.649871826171875,-56.69847869873047,-69.47917938232422,-69.3329086303711,-27.360102071450015,-37.50527029525982,-37.268914504099115,0.0,0.0,0.0,0.14782163134531726,0.03375915228596605,0.03615144499062728,0.0,-0.016028543399253116,-0.022823214900856082,0.0,0.0,0.0,0.0,0.0,0.0,-12.634429931640625,3.814697265625e-06,0.23765945434570312,-9.9088124326491,-0.020689592829440356,-0.053102453102453095,-0.11167018635468998,0.0,0.0,0.0,-0.022823214900856082,-12.78070068359375,3.814697265625e-06,0.23765945434570312,-10.145168223809804,-0.026746154527904666,-0.11774891774891771,-0.11406247905935121,0.0,0.0,0.0,-0.016028543399253116
ba76d46e-25de-45e2-90a8-bd279b650f7c,Lynx rufus,bobcat,True,0.3209899119640143,0.27307875665233605,0.28597121679912163,0.7126406362390239,0.6802429611343614,0.7052833725125484,True,True,True,-4200.3359375,-4202.38671875,-4202.38671875,-2676.748779296875,-2686.319091796875,-2686.319091796875,-4025.716796875,-3949.3349609375,-3877.0400390625,0.11461053585601286,0.16691323877224645,0.21459905475414476,0.06942148760330578,0.05309734513274336,0.03907637655417407,0.26314514846463516,0.25890271399669723,0.2658434407387863,0.03279031832001724,0.04555711316068284,0.021180877429793594,0.22826086956521738,0.28846153846153844,0.22,0.04093567251461988,0.029239766081871343,0.021442495126705652,148.6767578125,-2.05078125,-9.5703125,0.0999885188981319,-0.035018695164892644,-0.007357263726475494,0.0026982922741511373,-0.008260869565217377,-0.01949317738791423,-0.030345111049131714,-0.011609440890223647,76.3818359375,-2.05078125,-9.5703125,0.052302702916233595,-0.04791115531167822,-0.032397675104662405,-0.004242434467937928,0.06020066889632106,-0.011695906432748537,-0.016324142470562422,0.012766794840665598
5acf63fb-339d-42b1-af7e-95f6151ae5fb,Pecari tajacu,collared peccary,True,0.408938642910563,0.49653773303521576,0.5496457597400847,0.7089171974522293,0.7777070063694268,0.7839490445859872,True,True,True,-527.4453125,-527.4459838867188,-527.4459838867188,-333.00189208984375,-332.0203857421875,-332.0203857421875,-491.2453918457031,-476.5915832519531,-476.6461181640625,0.18617200097559108,0.2602238453795349,0.25994478822107075,0.0,0.25806451612903225,0.25806451612903225,0.40392557768762616,0.4816221988689003,0.4816221988689003,0.0,0.24638891274838387,0.24638891274838387,0.0,0.6666666666666666,0.6666666666666666,0.0,0.16,0.16,14.599273681640625,-0.00067138671875,0.98150634765625,0.07377278724547967,0.1407071168295217,0.07503184713375799,0.07769662118127413,0.6666666666666666,0.16,0.25806451612903225,0.24638891274838387,14.65380859375,-0.00067138671875,0.98150634765625,0.07405184440394383,0.08759909012465278,0.06878980891719755,0.07769662118127413,0.6666666666666666,0.16,0.25806451612903225,0.24638891274838387
aaf3b049-36e6-46dd-9a07-8a580e9618b7,Canis latrans,coyote,True,0.4721156647915961,0.44608346333919024,0.44308981767575,0.5814777156414166,0.5384646670055923,0.5302335596160173,True,True,True,-9278.3134765625,-9277.57421875,-9277.57421875,-5435.07763671875,-5468.41455078125,-5468.41455078125,-9392.333984375,-9418.5537109375,-9505.150390625,-0.029667840477136994,-0.037010654442500145,-0.05974445591994728,0.17484868863483524,0.02900763358778626,0.021521906225980016,0.46911757871689547,0.3927576288356309,0.38855479782829544,0.11909413274326586,0.031990264929486284,0.026724431937902096,0.6132075471698113,0.5428571428571428,0.5384615384615384,0.10196078431372549,0.014901960784313726,0.010980392156862745,-112.81640625,0.7392578125,-33.3369140625,-0.030076615442810286,-0.029025847115846104,-0.051244156025399334,-0.08056278088860003,-0.07474600870827286,-0.09098039215686274,-0.15332678240885522,-0.09236970080536376,-26.2197265625,0.7392578125,-33.3369140625,-0.007342813965363151,-0.026032201452405868,-0.043013048635824336,-0.07635994988126454,-0.07035040431266848,-0.08705882352941176,-0.14584105504704897,-0.08710386781377957
f67c4346-bbbd-43d5-9b19-b541d493019b,Tamiasciurus douglasii,douglas's squirrel,True,0.3463717013821609,0.23730051585668432,0.22568654684995854,0.7031028368794326,0.5854609929078015,0.5620567375886525,True,True,True,-659.9481201171875,-658.9203491210938,-658.9203491210938,-281.64984130859375,-274.32135009765625,-274.32135009765625,-520.813232421875,-661.511962890625,-674.4300537109375,0.36779149017939383,-0.00673848287726125,-0.040326949964054865,0.0,0.0,0.0,0.5106111780405669,0.2898174818703487,0.327750884276353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-153.6168212890625,1.02777099609375,7.3284912109375,-0.40811844014344867,-0.12068515453220235,-0.14104609929078016,-0.18286029376421387,0.0,0.0,0.0,0.0,-140.69873046875,1.02777099609375,7.3284912109375,-0.3745299730566551,-0.10907118552547657,-0.11764184397163113,-0.22079369617021816,0.0,0.0,0.0,0.0
1db1c6e2-2ea9-45a6-ab69-a730133298eb,Tamias striatus,eastern chipmunk,True,0.2182150759456376,0.21494945409513175,0.2195918117241063,0.706561694566616,0.7194033150385097,0.7185924749092696,True,True,True,-4388.4580078125,-4390.3291015625,-4390.3291015625,-2136.755859375,-2169.80615234375,-2169.80615234375,-3812.78759765625,-3869.28076171875,-3984.246337890625,0.2556601060916156,0.23465118431992393,0.18287708479425882,0.0,0.12244897959183673,0.1141732283464567,0.257354955575981,0.20996919808213269,0.22080546579033564,0.0,0.008333776462061666,0.027520928061395483,0.0,0.14342629482071714,0.1695906432748538,0.0,0.10682492581602374,0.08605341246290801,-171.458740234375,-1.87109375,-33.05029296875,-0.07278302129735678,0.0013767357784686962,0.01203078034265359,-0.036549489785645345,0.1695906432748538,0.08605341246290801,0.1141732283464567,0.027520928061395483,-56.4931640625,-1.87109375,-33.05029296875,-0.02100892177169167,-0.0032656218505058565,0.012841620471893744,-0.047385757493848296,0.14342629482071714,0.10682492581602374,0.12244897959183673,0.008333776462061666
667a4650-a141-4c4e-844e-58cdeaeb4ae1,Sylvilagus floridanus,eastern cottontail,True,0.2771838532656561,0.23795771117926265,0.2282587104163426,0.6944864493500389,0.6476418795537959,0.6330173021641265,True,True,True,-5478.15869140625,-5477.6904296875,-5477.6904296875,-3142.542236328125,-3180.15771484375,-3180.15771484375,-5352.04150390625,-5591.82080078125,-5703.10498046875,0.05399738780988399,-0.049675188673651484,-0.09811157391792784,0.014519056261343012,0.02821869488536155,0.0,0.27235814885512205,0.2378677214504481,0.23429292895152243,0.02013105035580264,0.024571886173956038,-0.02318369546387775,0.2857142857142857,0.26666666666666666,0.0,0.0074487895716946,0.0148975791433892,0.0,-351.0634765625,0.46826171875,-37.615478515625,-0.15210896172781183,-0.048925142849313485,-0.06146914718591234,-0.03806521990359962,-0.2857142857142857,-0.0074487895716946,-0.014519056261343012,-0.04331474581968039,-239.779296875,0.46826171875,-37.615478515625,-0.10367257648353548,-0.03922614208639344,-0.04684456979624296,-0.03449042740467395,-0.019047619047619035,0.0074487895716946,0.013699638624018538,0.0044408358181534
