taxon_id,scientific_name,common_name,metric,model,model_display_name,delta,baseline,target
5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Odocoileus virginianus,white-tailed deer,biolith_ap_test,refit_sentinel,Sentinel GRAFT,-0.03841488261782222,0.9264034731511736,0.8879885905333513
436ddfdd-bc43-44c3-a25d-34671d3430a0,Ursus americanus,american black bear,biolith_roc_auc_test,refit_sentinel,Sentinel GRAFT,-0.032386496207368776,0.8052738046497705,0.7728873084424017
ba76d46e-25de-45e2-90a8-bd279b650f7c,Lynx rufus,bobcat,biolith_roc_auc_test,refit_sentinel,Sentinel GRAFT,-0.007357263726475494,0.7126406362390239,0.7052833725125484
5acf63fb-339d-42b1-af7e-95f6151ae5fb,Pecari tajacu,collared peccary,biolith_roc_auc_test,refit_sentinel,Sentinel GRAFT,0.07503184713375799,0.7089171974522293,0.7839490445859872
aaf3b049-36e6-46dd-9a07-8a580e9618b7,Canis latrans,coyote,biolith_roc_auc_test,refit_sentinel,Sentinel GRAFT,-0.051244156025399334,0.5814777156414166,0.5302335596160173
f67c4346-bbbd-43d5-9b19-b541d493019b,Tamiasciurus douglasii,douglas's squirrel,biolith_roc_auc_test,refit_sentinel,Sentinel GRAFT,-0.14104609929078016,0.7031028368794326,0.5620567375886525
1db1c6e2-2ea9-45a6-ab69-a730133298eb,Tamias striatus,eastern chipmunk,biolith_roc_auc_test,refit_sentinel,Sentinel GRAFT,0.01203078034265359,0.706561694566616,0.7185924749092696
667a4650-a141-4c4e-844e-58cdeaeb4ae1,Sylvilagus floridanus,eastern cottontail,biolith_roc_auc_test,refit_sentinel,Sentinel GRAFT,-0.06146914718591234,0.6944864493500389,0.6330173021641265
e07c537d-08b8-4c31-9768-51e4adf5a5ab,Sciurus niger,eastern fox squirrel,biolith_roc_auc_test,refit_sentinel,Sentinel GRAFT,-0.10471281054883641,0.8161818320744008,0.7114690215255643
86f5b978-4f30-40cc-bd08-be9e3fba27a0,Sciurus carolinensis,eastern gray squirrel,biolith_roc_auc_test,refit_sentinel,Sentinel GRAFT,-0.007021686447523656,0.8168969635646348,0.8098752771171112
febff896-db40-4ac8-bcfe-5bb99a600950,Odocoileus hemionus,mule deer,biolith_roc_auc_test,refit_sentinel,Sentinel GRAFT,-0.07831661454210403,0.372896092604368,0.294579478062264
07843615-e1fc-49d8-9821-fd1d7ff2e773,Dasypus novemcinctus,nine-banded armadillo,biolith_roc_auc_test,refit_sentinel,Sentinel GRAFT,-0.014462816089378716,0.5846111335155562,0.5701483174261774
b57debc1-dff2-48d3-a400-f2b5021e71b0,Procyon lotor,northern raccoon,biolith_roc_auc_test,refit_sentinel,Sentinel GRAFT,-0.07195020118896478,0.7675683988160551,0.6956181976270903
ac0e8ba7-7261-4d17-8645-11ed3d02165a,Vulpes vulpes,red fox,biolith_roc_auc_test,refit_sentinel,Sentinel GRAFT,0.050919450980950964,0.774278009556623,0.8251974605375739
87be3a5c-e60a-4e7e-88c7-21544914d067,Didelphis virginiana,virginia opossum,biolith_roc_auc_test,refit_sentinel,Sentinel GRAFT,-0.006704808031673171,0.645844433936312,0.6391396259046388
16ec4010-f175-4de7-8a99-85aadec3963b,Sciurus griseus,western gray squirrel,biolith_roc_auc_test,refit_sentinel,Sentinel GRAFT,0.26066997518610413,0.6130272952853598,0.873697270471464
5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Odocoileus virginianus,white-tailed deer,biolith_roc_auc_test,refit_sentinel,Sentinel GRAFT,-0.05443939530622166,0.8222307240000478,0.7677913286938262
436ddfdd-bc43-44c3-a25d-34671d3430a0,Ursus americanus,american black bear,lr_map_test,refit_sentinel,Sentinel GRAFT,-0.12408890944615478,0.3470526715582092,0.2229637621120544
ba76d46e-25de-45e2-90a8-bd279b650f7c,Lynx rufus,bobcat,lr_map_test,refit_sentinel,Sentinel GRAFT,0.0026982922741511928,0.2631451484646351,0.2658434407387863
5acf63fb-339d-42b1-af7e-95f6151ae5fb,Pecari tajacu,collared peccary,lr_map_test,refit_sentinel,Sentinel GRAFT,0.07769662118127418,0.4039255776876261,0.4816221988689003
aaf3b049-36e6-46dd-9a07-8a580e9618b7,Canis latrans,coyote,lr_map_test,refit_sentinel,Sentinel GRAFT,-0.08056278088860003,0.4691175787168954,0.3885547978282954
f67c4346-bbbd-43d5-9b19-b541d493019b,Tamiasciurus douglasii,douglas's squirrel,lr_map_test,refit_sentinel,Sentinel GRAFT,-0.18286029376421387,0.5106111780405669,0.327750884276353
