taxon_id,scientific_name,common_name,is_final_species,original_sat_env__biolith_ap_test,original_sat_env__biolith_roc_auc_test,original_sat_env__fit_result_exists,refit_naip__fit_result_exists,refit_sentinel__fit_result_exists,original_sat_env__lppd_null_test,original_sat_env__lppd_oracle_test,original_sat_env__lppd_test,original_sat_env__lppd_test_norm,original_sat_env__lr_f1_test,original_sat_env__lr_map_test,original_sat_env__lr_mcc_test,original_sat_env__lr_precision_test,original_sat_env__lr_recall_test
e70effd7-855e-4ba3-966c-a4fbb74eab13,Taxidea taxus,american badger,False,0.12151541399433748,0.8097346972721224,True,False,False,-290.5389404296875,-286.203369140625,-253.8389129638672,8.464865416561084,0.11290322580645161,0.12140280282925757,0.09762672468023452,0.07608695652173914,0.21875
43320a08-bf31-49a5-8213-f032311c5765,Castor canadensis,american beaver,False,0.02347225122850728,0.7845435523868568,True,False,False,-312.3160705566406,-296.8301086425781,-287.8675231933594,1.5787554882903334,0.0,0.02172260006766138,0.0,0.0,0.0
436ddfdd-bc43-44c3-a25d-34671d3430a0,Ursus americanus,american black bear,True,0.37015265840756595,0.8052738046497705,True,False,False,-3254.254150390625,-1950.6728515625,-2915.734619140625,0.25968424950121444,0.305019305019305,0.3470526715582092,0.2719373703149104,0.49375,0.2206703910614525
819ea972-9d43-40f8-a47d-f415c816de94,Martes americana,american marten,False,0.04464249652015949,0.8857142857142857,True,False,False,-46.268733978271484,-45.88753128051758,-56.69847869873047,-27.360102071450015,0.0,0.14782163134531726,0.0,0.0,0.0
ba76d46e-25de-45e2-90a8-bd279b650f7c,Lynx rufus,bobcat,True,0.3209899119640143,0.7126406362390239,True,False,False,-4200.3359375,-2676.748779296875,-4025.716796875,0.11461053585601286,0.06942148760330578,0.26314514846463516,0.03279031832001724,0.22826086956521738,0.04093567251461988
5acf63fb-339d-42b1-af7e-95f6151ae5fb,Pecari tajacu,collared peccary,True,0.408938642910563,0.7089171974522293,True,False,False,-527.4453125,-333.00189208984375,-491.2453918457031,0.18617200097559108,0.0,0.40392557768762616,0.0,0.0,0.0
aaf3b049-36e6-46dd-9a07-8a580e9618b7,Canis latrans,coyote,True,0.4721156647915961,0.5814777156414166,True,False,False,-9278.3134765625,-5435.07763671875,-9392.333984375,-0.029667840477136994,0.17484868863483524,0.46911757871689547,0.11909413274326586,0.6132075471698113,0.10196078431372549
f67c4346-bbbd-43d5-9b19-b541d493019b,Tamiasciurus douglasii,douglas's squirrel,True,0.3463717013821609,0.7031028368794326,True,False,False,-659.9481201171875,-281.64984130859375,-520.813232421875,0.36779149017939383,0.0,0.5106111780405669,0.0,0.0,0.0
1db1c6e2-2ea9-45a6-ab69-a730133298eb,Tamias striatus,eastern chipmunk,True,0.2182150759456376,0.706561694566616,True,False,False,-4388.4580078125,-2136.755859375,-3812.78759765625,0.2556601060916156,0.0,0.257354955575981,0.0,0.0,0.0
667a4650-a141-4c4e-844e-58cdeaeb4ae1,Sylvilagus floridanus,eastern cottontail,True,0.2771838532656561,0.6944864493500389,True,False,False,-5478.15869140625,-3142.542236328125,-5352.04150390625,0.05399738780988399,0.014519056261343012,0.27235814885512205,0.02013105035580264,0.2857142857142857,0.0074487895716946
e07c537d-08b8-4c31-9768-51e4adf5a5ab,Sciurus niger,eastern fox squirrel,True,0.46702204900082944,0.8161818320744008,True,False,False,-6794.6728515625,-2603.09423828125,-4062.866455078125,0.6517368868684688,0.2953271028037383,0.38379223150111674,0.25727933949472903,0.47878787878787876,0.21351351351351353
86f5b978-4f30-40cc-bd08-be9e3fba27a0,Sciurus carolinensis,eastern gray squirrel,True,0.7674969718569562,0.8168969635646348,True,False,False,-12743.1767578125,-6042.35546875,-10284.154296875,0.36697329399774775,0.6596942880128721,0.7571375947025961,0.4149669616512416,0.7529843893480257,0.5869720830350752
41930eb4-2283-445a-8758-1f0b2ff43cf9,Spilogale putorius,eastern spotted skunk,False,0.01815303758521808,0.9050436580882353,True,False,False,-44.9064826965332,-44.777679443359375,-42.7557373046875,16.697912039093737,0.08333333333333333,0.046319693628486557,0.14628684458650643,0.045454545454545456,0.5
96fe1a07-7ef1-4a2f-99e1-ec2c9a78b532,Ardea herodias,great blue heron,False,0.015075708288772492,0.6292812827558855,True,False,False,-461.35235595703125,-437.3038635253906,-457.38311767578125,0.16505143898449406,0.0,0.012978145423915113,0.0,0.0,0.0
ffe603fc-4920-4302-96d0-65f708bd5b2d,Urocyon cinereoargenteus,grey fox,False,0.10427866845148843,0.6747428229665071,True,False,False,-2181.52490234375,-1355.443115234375,-2138.155029296875,0.05250070116983797,0.0,0.12863169401861166,0.0,0.0,0.0
df4c64cf-306d-4bf2-aa86-9e9c8d81fd41,Mustela frenata,long-tailed weasel,False,0.018115849225951056,0.6937023711719879,True,False,False,-374.129638671875,-327.5700378417969,-359.5281982421875,0.3136075088567936,0.0,0.015006009788687248,0.0,0.0,0.0
febff896-db40-4ac8-bcfe-5bb99a600950,Odocoileus hemionus,mule deer,True,0.20487784396725722,0.37289609260436807,True,False,False,-2724.113525390625,-1568.8446044921875,-3375.45947265625,-0.5638046133527783,0.1362530413625304,0.17967740619871714,-0.3630214466474385,0.10586011342155009,0.19112627986348124
07843615-e1fc-49d8-9821-fd1d7ff2e773,Dasypus novemcinctus,nine-banded armadillo,True,0.35472163043408517,0.5846111335155562,True,False,False,-3498.285888671875,-2288.6533203125,-3429.000732421875,0.05727785284747374,0.1893939393939394,0.35256816907347877,0.035079035582048404,0.3546099290780142,0.12919896640826872
b57debc1-dff2-48d3-a400-f2b5021e71b0,Procyon lotor,northern raccoon,True,0.7580747905656094,0.7675683988160551,True,False,False,-14259.4296875,-7156.525390625,-11732.8193359375,0.35571510553424035,0.6124004156563907,0.7536126965387646,0.3389474418236137,0.7428571428571429,0.5209192692987625
