domain,target_label,target_display_name,n_species,mean_delta_lppd_test,median_delta_lppd_test,num_improved_lppd_test,mean_delta_lppd_null_test,median_delta_lppd_null_test,num_improved_lppd_null_test,mean_delta_lppd_oracle_test,median_delta_lppd_oracle_test,num_improved_lppd_oracle_test,mean_delta_lppd_test_norm,median_delta_lppd_test_norm,num_improved_lppd_test_norm,mean_delta_biolith_ap_test,median_delta_biolith_ap_test,num_improved_biolith_ap_test,mean_delta_biolith_roc_auc_test,median_delta_biolith_roc_auc_test,num_improved_biolith_roc_auc_test,mean_delta_lr_map_test,median_delta_lr_map_test,num_improved_lr_map_test,mean_delta_lr_precision_test,median_delta_lr_precision_test,num_improved_lr_precision_test,mean_delta_lr_recall_test,median_delta_lr_recall_test,num_improved_lr_recall_test,mean_delta_lr_f1_test,median_delta_lr_f1_test,num_improved_lr_f1_test,mean_delta_lr_mcc_test,median_delta_lr_mcc_test,num_improved_lr_mcc_test
camera_trap,clip_expert,Camera-trap expert refit,13,-281.9471940260667,-155.37939453125,2,0.0,0.0,0,-2.4209453876201925,1.3314208984375,7,-0.5626916768641593,-0.15085325814364914,2,-0.04341388794140903,-0.037481241712513325,4,-0.04767989388433813,-0.022144707566860267,4,-0.028578799115521115,-0.03507758861783433,5,0.02342514247032549,0.0,5,0.013210874921367364,0.0,5,0.014052204423119781,0.0,5,0.014222720047817296,0.0,6
camera_trap,clip_visdiff,Camera-trap VisDiff refit,27,-110.03632269965277,-12.13482666015625,13,0.0,0.0,0,-2.8316191214102284,0.981475830078125,15,-2.7503230913643613,-0.046232930506849956,11,-0.022223099545757855,-0.02419544711529015,8,0.0015787220586612524,-0.016191045796308923,9,-0.008043183715907315,-0.01147257709897087,11,-0.002642733383751404,0.0,8,0.032965490625758,0.0,10,0.024626884886694463,0.0,10,0.020618083543425647,0.0,11
satellite,graft_visdiff_naip,GRAFT NAIP refit,27,-188.6066552621347,-21.647109985351562,10,0.09866530806929977,-0.00067138671875,13,-1.923214806450738,-0.150299072265625,13,-2.9075493071393663,-0.10367257648353548,10,-0.012649976144744942,-0.015050173427009983,9,-0.03219378355233504,-0.043013048635824336,8,-0.03416107578907877,-0.020384487489794337,9,0.02920311468684118,0.0,9,-0.0025594765020340755,0.0,9,0.012481578998530304,0.0,8,0.0019612588398622956,-0.0025324538839084365,9
satellite,graft_visdiff_sentinel,GRAFT Sentinel refit,27,-183.2293839631257,-36.563232421875,9,0.09866530806929977,-0.00067138671875,13,-1.923214806450738,-0.150299072265625,13,-2.053226747011182,-0.14179577406944677,9,-0.00722922267864614,-0.013533379936399954,10,-0.03107278975979372,-0.032386496207368776,7,-0.021684188586924107,-0.007508112063165817,11,0.01115110955618633,0.0,7,0.01110601804504042,0.0,8,0.02258408343148076,0.0,7,0.005719294398479373,-0.006584837763522866,6
