model_label,model_display_name,n_species_overlap,mean_lppd_test,median_lppd_test,mean_lppd_null_test,median_lppd_null_test,mean_lppd_oracle_test,median_lppd_oracle_test,mean_lppd_test_norm,median_lppd_test_norm,mean_biolith_ap_test,median_biolith_ap_test,mean_biolith_roc_auc_test,median_biolith_roc_auc_test,mean_lr_map_test,median_lr_map_test,mean_lr_precision_test,median_lr_precision_test,mean_lr_recall_test,median_lr_recall_test,mean_lr_f1_test,median_lr_f1_test,mean_lr_mcc_test,median_lr_mcc_test,mean_delta_lppd_test,median_delta_lppd_test,num_improved_lppd_test,mean_delta_lppd_null_test,median_delta_lppd_null_test,num_improved_lppd_null_test,mean_delta_lppd_oracle_test,median_delta_lppd_oracle_test,num_improved_lppd_oracle_test,mean_delta_lppd_test_norm,median_delta_lppd_test_norm,num_improved_lppd_test_norm,mean_delta_biolith_ap_test,median_delta_biolith_ap_test,num_improved_biolith_ap_test,mean_delta_biolith_roc_auc_test,median_delta_biolith_roc_auc_test,num_improved_biolith_roc_auc_test,mean_delta_lr_map_test,median_delta_lr_map_test,num_improved_lr_map_test,mean_delta_lr_precision_test,median_delta_lr_precision_test,num_improved_lr_precision_test,mean_delta_lr_recall_test,median_delta_lr_recall_test,num_improved_lr_recall_test,mean_delta_lr_f1_test,median_delta_lr_f1_test,num_improved_lr_f1_test,mean_delta_lr_mcc_test,median_delta_lr_mcc_test,num_improved_lr_mcc_test
original_sat_env,Original sat+env,27,-3626.814653467249,-2915.734619140625,-4053.894292195638,-2724.113525390625,-2240.922336295799,-1568.8446044921875,0.2883655982300126,0.2556601060916156,0.322554131197946,0.3209899119640143,0.733168008392896,0.7126406362390239,0.33244135464560143,0.3254578960449121,0.2594427486369945,0.10586011342155009,0.15079022190220503,0.04093567251461988,0.15734029368783506,0.06942148760330578,0.09328183492998068,0.02013105035580264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refit_sentinel,Refit GRAFT Sentinel,27,-3810.044037430375,-3181.697509765625,-4053.7956268875687,-2724.12255859375,-2242.84555110225,-1576.71484375,-1.764861148781169,0.15073877507614472,0.3153249085192999,0.26278457099914954,0.7020952186331023,0.7185924749092696,0.31075716605867726,0.2658434407387863,0.2705938581931808,0.1695906432748538,0.16189623994724545,0.05084745762711865,0.17992437711931583,0.049689440993788817,0.09900112932846007,0.021180877429793594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refit_naip,Refit GRAFT NAIP,27,-3815.421308729384,-3204.219482421875,-4053.7956268875687,-2724.12255859375,-2242.84555110225,-1576.71484375,-2.6191837089093544,0.22179908823761335,0.30990415505320107,0.2481135299896099,0.7009742248405609,0.739042747837658,0.29828027885652264,0.25890271399669723,0.2886458633238356,0.23684210526315788,0.14823074540017095,0.04371584699453552,0.16982187268636537,0.05309734513274336,0.09524309376984295,0.031990264929486284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refit_sentinel_vs_original_sat_env,Refit GRAFT Sentinel vs Original sat+env,27,,,,,,,,,,,,,,,,,,,,,,,-183.2293839631257,-36.563232421875,9.0,0.09866530806929977,-0.00067138671875,13.0,-1.923214806450738,-0.150299072265625,13.0,-2.0532267470111814,-0.14179577406944677,9.0,-0.007229222678646143,-0.013533379936399954,10.0,-0.031072789759793724,-0.032386496207368776,7.0,-0.021684188586924107,-0.007508112063165817,11.0,0.011151109556186332,0.0,7.0,0.01110601804504042,0.0,8.0,0.022584083431480755,0.0,7.0,0.0057192943984793725,-0.006584837763522866,6.0
refit_naip_vs_original_sat_env,Refit GRAFT NAIP vs Original sat+env,27,,,,,,,,,,,,,,,,,,,,,,,-188.6066552621347,-21.647109985351562,10.0,0.09866530806929977,-0.00067138671875,13.0,-1.923214806450738,-0.150299072265625,13.0,-2.9075493071393663,-0.10367257648353548,10.0,-0.012649976144744944,-0.015050173427009983,9.0,-0.03219378355233505,-0.043013048635824336,8.0,-0.03416107578907877,-0.020384487489794337,9.0,0.02920311468684118,0.0,9.0,-0.0025594765020340777,0.0,9.0,0.012481578998530304,0.0,8.0,0.001961258839862292,-0.0025324538839084365,9.0
