taxon_id,scientific_name,common_name,is_final_species,experiment_label,experiment_display_name,domain,reference_label,modalities,image_backbone,sat_backbone,fit_result_path,fit_result_exists,lppd_test,lppd_null_test,lppd_oracle_test,lppd_test_norm,biolith_ap_test,biolith_roc_auc_test,lr_map_test,lr_precision_test,lr_recall_test,lr_f1_test,lr_mcc_test
819ea972-9d43-40f8-a47d-f415c816de94,Martes americana,american marten,False,sat_env_baseline,Sat+env baseline,satellite,,"covariates,sat",,alphaearth,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/819ea972-9d43-40f8-a47d-f415c816de94_modalities_covariates_sat_image_None_sat_alphaearth.pkl,True,-56.69847869873047,-46.268733978271484,-45.88753128051758,-27.360102071450015,0.04464249652015949,0.8857142857142857,0.14782163134531726,0.0,0.0,0.0,0.0
86f5b978-4f30-40cc-bd08-be9e3fba27a0,Sciurus carolinensis,eastern gray squirrel,True,sat_env_baseline,Sat+env baseline,satellite,,"covariates,sat",,alphaearth,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/86f5b978-4f30-40cc-bd08-be9e3fba27a0_modalities_covariates_sat_image_None_sat_alphaearth.pkl,True,-10284.154296875,-12743.1767578125,-6042.35546875,0.36697329399774775,0.7674969718569562,0.8168969635646348,0.7571375947025961,0.7529843893480257,0.5869720830350752,0.6596942880128721,0.4149669616512416
87be3a5c-e60a-4e7e-88c7-21544914d067,Didelphis virginiana,virginia opossum,True,sat_env_baseline,Sat+env baseline,satellite,,"covariates,sat",,alphaearth,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/87be3a5c-e60a-4e7e-88c7-21544914d067_modalities_covariates_sat_image_None_sat_alphaearth.pkl,True,-9083.0615234375,-8642.29296875,-5326.3603515625,-0.13292446064882646,0.40532509807117556,0.645844433936312,0.3929693295289106,0.34285714285714286,0.025613660618996798,0.047666335650446874,0.009010799874053699
94d8284e-6193-43b5-b80c-9029cf951675,Meleagris gallopavo,,False,sat_env_baseline,Sat+env baseline,satellite,,"covariates,sat",,alphaearth,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/94d8284e-6193-43b5-b80c-9029cf951675_modalities_covariates_sat_image_None_sat_alphaearth.pkl,True,-4828.24951171875,-4801.458984375,-2893.936279296875,-0.014044670227216383,0.27111734109668406,0.6745502236453276,0.2827022585753851,0.37222222222222223,0.122040072859745,0.18381344307270234,0.1311554974546277
96fe1a07-7ef1-4a2f-99e1-ec2c9a78b532,Ardea herodias,great blue heron,False,sat_env_baseline,Sat+env baseline,satellite,,"covariates,sat",,alphaearth,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/96fe1a07-7ef1-4a2f-99e1-ec2c9a78b532_modalities_covariates_sat_image_None_sat_alphaearth.pkl,True,-457.38311767578125,-461.35235595703125,-437.3038635253906,0.16505143898449406,0.015075708288772492,0.6292812827558855,0.012978145423915113,0.0,0.0,0.0,0.0
aaf3b049-36e6-46dd-9a07-8a580e9618b7,Canis latrans,coyote,True,sat_env_baseline,Sat+env baseline,satellite,,"covariates,sat",,alphaearth,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/aaf3b049-36e6-46dd-9a07-8a580e9618b7_modalities_covariates_sat_image_None_sat_alphaearth.pkl,True,-9392.333984375,-9278.3134765625,-5435.07763671875,-0.029667840477136994,0.4721156647915961,0.5814777156414166,0.46911757871689547,0.6132075471698113,0.10196078431372549,0.17484868863483524,0.11909413274326586
ac0e8ba7-7261-4d17-8645-11ed3d02165a,Vulpes vulpes,red fox,True,sat_env_baseline,Sat+env baseline,satellite,,"covariates,sat",,alphaearth,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/ac0e8ba7-7261-4d17-8645-11ed3d02165a_modalities_covariates_sat_image_None_sat_alphaearth.pkl,True,-4389.236328125,-5081.09130859375,-2655.75341796875,0.28526127561156506,0.35960332947982876,0.774278009556623,0.35756021134252386,0.5497835497835498,0.2803532008830022,0.3713450292397661,0.3275913025093544
b57debc1-dff2-48d3-a400-f2b5021e71b0,Procyon lotor,northern raccoon,True,sat_env_baseline,Sat+env baseline,satellite,,"covariates,sat",,alphaearth,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/b57debc1-dff2-48d3-a400-f2b5021e71b0_modalities_covariates_sat_image_None_sat_alphaearth.pkl,True,-11732.8193359375,-14259.4296875,-7156.525390625,0.35571510553424035,0.7580747905656094,0.7675683988160551,0.7536126965387646,0.7428571428571429,0.5209192692987625,0.6124004156563907,0.3389474418236137
ba76d46e-25de-45e2-90a8-bd279b650f7c,Lynx rufus,bobcat,True,sat_env_baseline,Sat+env baseline,satellite,,"covariates,sat",,alphaearth,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/ba76d46e-25de-45e2-90a8-bd279b650f7c_modalities_covariates_sat_image_None_sat_alphaearth.pkl,True,-4025.716796875,-4200.3359375,-2676.748779296875,0.11461053585601286,0.3209899119640143,0.7126406362390239,0.26314514846463516,0.22826086956521738,0.04093567251461988,0.06942148760330578,0.03279031832001724
df4c64cf-306d-4bf2-aa86-9e9c8d81fd41,Mustela frenata,long-tailed weasel,False,sat_env_baseline,Sat+env baseline,satellite,,"covariates,sat",,alphaearth,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/df4c64cf-306d-4bf2-aa86-9e9c8d81fd41_modalities_covariates_sat_image_None_sat_alphaearth.pkl,True,-359.5281982421875,-374.129638671875,-327.5700378417969,0.3136075088567936,0.018115849225951056,0.6937023711719879,0.015006009788687248,0.0,0.0,0.0,0.0
